date,location,total_rating,speed_small_rating,availability_small_rating,support_small_rating_tab,price_quality_small_rating,headline,summary
14.08.2014 в 21:03,г. Усть-Каменогорск,1,1,1,1,1,"
                    Не подключайте народ билай это такое гов стало                 ","
                    Не давайте оператором технического отдела проверять скорость интернета через Speed Net они с этим сайтом нахимичили он теперь кажет завышенную скорость                  "
14.08.2014 в 05:13,г. Темиртау,4,1,5,5,5,"
                    Отвратительная скорость!                ","
                    Когда подключился была скорость положительная,сейчас меня не устраивает,хочу отказываться от этого отвратительного интернета!                 "
25.07.2014 в 11:59,г. Алматы,1,1,1,1,1,"
                    позор!                 ","
                    Обращаюсь к руководству компании beeline.kz Хочу выразить крайнее недовольство  обслуживанием компании! ""операторы beeline.kz call-center, монтажники- специалисты- техники-механики"". Добиться чего то от call-center  невозможно - люди просто некомпетентные и в тоже время  вежливые.
 Или Вы всегда так поступаете с клиентами? 1 июля  2014г. переключилась от 50Mbps на 100Mbps  и заплатила  интернет компания beeline.kz  4990 тг за месяц с 1 июня по 31  августа 2014.Интернет  с 1 июля 2014 еще хуже только стало.  Сбой со скоростью с 1 июля (вход 20.01Mbps, выход 22.03Mbps  измеряли даже собственным 2Ком-овским speedtest) Два три  раза 4-5 июля 2014 и долгожданный 14 июля 2014 приезжали разные  мастера,сняли screenshot  при мне отправили на e-mail  beeline.kz на мой e-mail. Сегодняшняя 25.июля 2014 скорость при 100Mbps (вход 2,74Mbps, выход 41,87Mbps) Звоню узнать что опять??? call-center заявляет,что моя заявка  открыта, выезд монтажникам запрет по моему адресу! Без ответа всего вопроса. Сообщаю о факте вопиющего  безобразия циничного отношения ко мне как клиенту beeline.kz  со стороны beeline.kz Когда кончится этот беспредел??? 



"
21.07.2014 в 18:08,г. Алматы,2.2,2,3,1,3,"
                    билайн                ","
                    должны давать 10 мб , обычно больше 2 не бывает, даже ночью, пинг меньше 200 не бывает, поддержку дозвониться невозможно                 "
18.07.2014 в 21:46,г. Усть-Каменогорск,5,5,5,5,5,"
                    Яндекс DNS                ","
                    Я когда стал пользоваться Яндекс DNS, то я вошёл на сайт speedtest.net и после теста скорость выпала в 18 мб и 20 мб! Я на основе этого результата создал турнир. Вот он: http://www.speedtest.net/wave/b13053872994217a
В общем, скорость с Яндекс DNS будет наверное лучше.                 "
07.07.2014 в 20:03,г. Семей,1,1,1,1,1,"
                    качество никуда не годится!                ","
                    Кто собирается подключаться - категорически не советую! Мы повелись на рекламу, отказались от Мегалайна, подключились год назад к ""Интернет дома"". Поначалу пару месяцев всё было просто супер, не могли нарадоваться. Но потом началась нервотрёпка - стабильно пару раз в неделю пропадает интернет. Скорость постоянно не соответствует заявленной, какие-то провалы постоянно в скорости. И вот меня сегодня уже попросту добили - три дня захожу Вконтакте и на Майл.ру через прокси-сервер, потому что у Билайна нет к этим сайтам доступа! И некоторые другие сайты недоступны. А служба поддержки не работает, потому как выходной((( да и в будние дни толку от них никакого - постоянно советуют перезагрузить роутер, будто мы все тут нубы сидим. Ну ничего ж мне надо платить за скоростной безлимит, если мне приходится через прокси ползать по интернету????? Нафиг, нафиг, после праздников иду к другому провайдеру. Билайн.кз - отстой!  ДОСТАЛИ.                 "
02.07.2014 в 23:55,г. Нур-Султан,1,1,1,1,1,"
","
                    Просто отвратительный Инет на 3G. Друзья, если есть возможность, используйте другого оператора. Сам сейчас взял Altel 4G, очень рад. Нет постоянных вылетов как на Билайне, скорость очень хорошая. Короче - одни плюсы. А флеш-модем, видимо придется просто выкинуть. Это никому не нужно.                 "
30.06.2014 в 20:18,г. Алматы,3.5,3,4,4,3,"
                    еле дождадся, пока открылась страница                ","
                    Пользуюсь интернет от beeline уже давно,  потому что интернет на год, но качество - плохое. Скорость вроде неплохая, но постоянные вылеты, особенно когда очень надо, задолбали блин. Короче на 3- еле-еле тянет. Возможно, придётся поменять, пусть дороже, зато стабильнее. В общем, не рекомендую...                 "
27.06.2014 в 22:46,г. Алматы,2.2,3,2,1,3,"
                    Ужаснейщая вещь в мире                ","
                    Отключается 1 раз и это минимум в сутки, это просто ужасно. Невозможно работать, не говоря уже, об играть. При том связь на налаживается в течении 3-4 минут, нужно приложить руку. Я расстроен.                 "
26.06.2014 в 18:02,г. Нур-Султан,2,1,1,3,3,"
                    НЕВАЖНОЕ КАЧЕСТВО!!                ","
                    Подсоединился на днях к Beeline KZ. 
Установил пакет 50 Мбт/сек.
К сожалению не оправдала надежд. Скорость выше 2.5 Мбит/сек не поднимается. Разочарован.                 "
26.06.2014 в 14:43,г. Кокшетау,5,5,5,5,5,"
                    Beeline KZ не плохой                ","
                    Интернет хороший.Оправдывают скорость и цену.+Установка бесплатная.Технические отделы,support(ы)помогают.Советую!                 "
26.06.2014 в 11:14,г. Костанай,4.8,5,4,5,5,"
                    Отличный провайдер                ","
                    Отличный провайдер - всем рекомендую ставить ""Интернет дома"" от Билайн если он живет в Казахстане, лучше интернета здесь не найти. Megaline даже соперничать с Билайном не может,хотя реклама у него побольше.
+ У Билайна тарифы ниже в 2 раза                 "
12.06.2014 в 10:18,г. Нур-Султан,5,5,5,5,5,"
                    Отлично открывается сайт Азаттык                ","
                    Читаю новости на Радио Азаттык, заказываю проститутов на сайте казго ком. Плачу 30 тенге в сутки. USB модем Билайн. Скорость 64 килобит в секунду стабильная.                  "
06.06.2014 в 23:33,г. Жезказган,5,5,5,5,5,"
                    А я всем доволен !!!                ","
                    В отличии от других я своим интернетом вполне доволен.Пользуюсь 4 года.Плата - 4500 тенге(900рублей).Скорость(заявленная) - 70 Мбит + ещё бонусная скорость за своевременную оплату.Трафик - безлимитный,скачиваю по 1000 Гб и больше в месяц (Blu-Ray фильмы).Если сидов достаточно,торрент качает за 10 Мбит.Одновременно смотрю онлайн-передачи или спорт по Sop Cast - никакой буферизации не жду,сразу включаю и смотрю.Недавно купил Smart Tv,подключил через маршрутизатор - ничего,жалоб нет.Тянет и комп и телевизор.Так что моя оценка - 5+.                 "
29.05.2014 в 20:27,г. Алматы,1,1,1,1,1,"
                    редкостная дрянь                ","
                    Приобрел пакет реальный 50. Скорость еще ни разу по любому из тестов, не поднялась выше 7. Специалисты подключали 2 часа. Это при том, что провод был уже проведет в квартиру. Выклянчили тысячу. Кроме того при подключении Вам надо запастись карточками оплаты Beeline. Попробуйте их найти.
Кроме того минимум Вы переплатите при их покупке 500 тенге. Вообщем, даже Казахтелеком лучше                 "
27.05.2014 в 09:00,г. Алматы,1,1,1,1,1,"
                    2Дэй Телеком                ","
                    2Дэй телеком - дочерняя компания Билайн Казахстан.
Цены ""космос"" за выделенную скорость 2 Мбит (Выделенный Статический IP) платим 40000тг (7500 руб) + вначале было подключение и т.д и т.п. 
Качество связи сначала было неплохое, но последнее время, постоянное пропадает соединение, скорость не соответствует, обращаешься в тех поддержку, в ответ получаю у Вас с оборудованием не все в порядке, с нашей стороны все ""тип топ"".
Подключаю нового провайдера тестового, (дешевле в 1,5 раз) все отлично работает((( и на оборудование никакой жалобы нет. 
Так что вывод однозначный хиленькая контора!!!                 "
26.05.2014 в 18:55,г. Алматы,1.2,2,1,1,1,"
                    Билайн                ","
                    худший провайдер который есть в стране режет скорость ,постоянная потеря пакетов, высокий пинг и т.д.постоянные неполадки ,разные ограничения,высокая стомость                 "
22.05.2014 в 18:32,г. Павлодар,3.5,4,2,4,4,"
                    Beeline.kz                ","
                    Хороший интернет,обещанную скорость получаю.
Бывают сбои.
Довольно хорошее обслуживание.
По сравнению с другими операторами лучший по Казахстану.
"
22.05.2014 в 18:15,г. Петропавловск,2.5,2,3,3,2,"
","
                    Минусы:
- Лимитированный трафик
- Низкая скорость
- Обрывы сети

Плюсы:
- мобильность
- цена
"
15.05.2014 в 19:23,г. Алматы,3.8,4,3,5,3,"
","
                    Все в общем то хорошо, но бывают нехватка IP адресов, и из за этого бывают временный перерыв в работе интернета, но эти неполадки длятся примерно 5 часов, бывают не часто, это обычно когда много людей сразу пользуются интернетом, так что не так часто. В общем скорость стабильная, быстрая, подходит для онлайн игр, для просмотра разных видео с Full Hd разрешением без остановки и пред ожидания пока загрузиться все. Служба поддержки работает хорошо, при неполадках могут объяснить как их устранить и в курсе что у них происходит.                 "
13.05.2014 в 12:59,г. Нур-Султан,4,5,3,4,4,"
                    Beeline.kz один из лучших интернет провайдеров Казахстана                ","
                    По сравнению с другими операторами, Билайн выполняет условия договора по скорости(Мне обещали 100 мегабит\сек я их получаю! ) 

Стабильность на высоте, единственное, что отпугивает - пинг(80 с Россией)                 "
09.05.2014 в 21:13,г. Караганда,4.5,4,5,4,5,"
                    Beeline KZ                ","
                    Интернет белайн работает очень быстро
есть много разных тарифов по приемлимым ценам и у интернета  скорость очень хорошый за свою цену                  "
04.05.2014 в 19:29,г. Нур-Султан,4.5,5,4,4,5,"
                     Beeline                 ","
                    Уже столько пользуюсь услугами провайдера. Доволен хорошая скорость много акций и т.д.
Советую подключитьЁ                 "
22.04.2014 в 19:40,г. Павлодар,4.5,5,5,4,4,"
                    Билайн                ","
                    Очень хороший интернет. Подлагивает редко. Всем советую.                 "
17.04.2014 в 07:05,г. Усть-Каменогорск,1,1,1,1,1,"
                    3G модем                ","
                    Купили на год ""безлимитный"" интернет на год ! Работает отвратительно ,сеть перегружена в любое время суток ,постоянно отключается . И компания ничего не делает для исправления и улучшения сети. Не берите ,замучаетесь потом !!!                 "
14.04.2014 в 16:18,г. Алматы,2,2,2,2,2,"
                    Билайн                ","
                    Оставлю свои 5-копеек! Потому что настолько достала эта шарашкина контора!
Раньше сидел на ID-net и все было по фэн шую. Но случилось так,что переехал на новый район и именно в моем доме,нет оптики КТ. Пришлось подключиться к Билайну. И тут все началось! Постоянные сбои,снег идет-интернета нет,дождь-та же песня. Пакет-Реальный безлимит 50,скорость на столько отстойная,что видео грузит со скоростью турбо-улитки! Звонишь к ним,операторы овощи-ни бэ ни мэ! Короче ребя,если кто хочет подключиться,не совершайте такую ошибку.                  "
13.04.2014 в 01:14,г. Алматы,5,5,5,5,5,"
                    Билайн Рулит =)                ","
                    Заявленная скорость 50-100мб/с в зависимости от тарифа, действительно является таковой. Открывая в хроме одновременно больше 20 вкладок я не жду даже секунды пока прогрузится последняя вкладка. В общем супер. Техподдержка  - очень милые девушки, очень приятные. Перебои - в случае обрыва линии связи не больше 2х-3х часов, но это бывает крайне редко. Иногда падают DNS - в основном ночью и тоже на очень короткое время, хотя я уже приспособился - знаю все IP любимых сайтов, просто почему-то после нового года за месяц уже 3 таких коротких падения DNS было. Но в основном молодцы. Я сам админ и прекрасно представляю что такое работать у провайдера =)                 "
05.04.2014 в 16:47,г. Шымкент,4.5,5,3,5,5,"
                    Отличный провайдер                ","
                    Хочу сказать если у вас появилась мысль с одного провайдера на Интернет билайн дома,То Полностью поддержу на 100%,это провайдер Является Самым скоростным Интернетом Обладающим тарифами Где внешняя скорость достигает до 100 мб/сек,Очень мне все нравиться,Отличное обслуживание Технической помощи всегда оставались грамотными и помогали в любой ситуации,Есть также тариф за Реальный безлимит 10 Мбит/с На внешний.И что нравиться на внутренних сайтах скорость на любом тарифном плане 100 мб/сек!
"
19.03.2014 в 18:39,г. Караганда,2.2,2,3,3,1,"
                    Интернет одно слово                ","
                    Вообщем интернет очень плохой сейчас,в начале как только нам поставили wifi работал хорошо,скорость была от 1 до 3 Мб/с,хотя было сказано что должно быть 150 Мб/с на коробочке написано.Скорость у меня сейчас вообще упала сегодня 19.03.2014г. интернет работает с очень маленькой скоростью:долго грузит видео с YouTube,долговато открывает сайты,с торрента качает со скоростью от 20 до 100 Кб/с.Я просто уже незнаю что делать,интернет часто выключают,говорят что идут настройки,а мы деньги платим за что простите меня.Друг подключился тоже на wifi,говорит интернет супер качает от 6-15 Мб/с.
Подводя итоги можно говорить:
Интернет не очень.
1.Не будет хорошей подачи скорости-отключусь от интернета.
2.Платим 4000тг. честно говоря не за что.
3.Исправляйтесь!!!
4.Баллы к интернету:   4/10                  "
18.03.2014 в 10:34,г. Уральск,3,5,3,3,1,"
","
                    Интернет ужасен, в том плане что скорость скачки хорошая и сайты быстро открываются, а вот пинг около 300 мс
Skype постоянно вылетает, в онлайн игры не поиграть
Иногда вообще скорость падает
А иногда вообще не работает                 "
16.03.2014 в 21:19,г. Алматы,2,3,1,1,3,"
                    Ужас какой-то                ","
                    Все бы ничего, но как я понял либо у них реально проблемы со связью либо они специально так делают. Я несколько раз пробовал и эти несколько раз одно и тоже. 
Когда скорость плохая, звоню к ним, обещают наладить. Через час все летать начинает. И так постоянно. Сейчас очередной раз будет. Придется им звонить. А операторы толком ответить не могут на вопросы. Зачем они в поддержке сидят, если не могут дать ответа...хер поймешь.                  "
11.03.2014 в 19:50,г. Семей,2.5,1,4,4,1,"
                    Низкая скорость                ","
                    Очень плохо что у нас нет выбора провайдера.Приходиться выбирать между плохим и очень плохим.Нет ни одного месяца чтобы не было проблем с интернетом.За что платим деньги? И за что у нас отвечает Beeline?                 "
24.02.2014 в 20:36,г. Караганда,3,2,3,3,4,"
                    Beeline KZ                ","
                    уже две недели очень низкая скорость - не выше 2 мбит/с, из заявленных 51 мбит/с.
И вечные проблемы у них с соединением. Раз в месяц минимум.                 "
23.02.2014 в 17:51,г. Актобе,2.2,3,1,1,4,"
                    Нет доступа к ea.com                ","
                    Нет доступа к ea.com
С начала месяца(февраль 2014) не могу поиграть в battlefield 3,4 и другие игры Origin. Служба поддержки всегда отвечает одно и то же, всем подряд. А точнее: ""Извините за предоставленные неудобства, мы стараемся как можно скорее исправить эту проблему"". Доступность и пинг ужасные, от 200 - Западная Европа, до США - 200-600(+-50).
Многие сайты ""закрыты"" beeline'ом, выходит сообщение о том что это сайт содержит опасные материалы и т.д.(в любом браузере или устройстве, проверено на Домашнем и мобильном интернете). Все остальное удовлетворительно. Доступ к Российским серверам в играх и браузере нормальный, пинг 60-140. В Казахстане хороший: 1-20(+-10).                 "
20.02.2014 в 13:43,г. Караганда,2.8,4,2,1,4,"
                    Ложку дегтя в бочку                ","
                    Я бы конечно рад сказать что Beeline отличная компания и все в этом духе...Да так и есть , но и тут есть подвохи.Вот с чем я лично столкнулся - постоянно в конце месяца скорость мала,скорее всего обьясняется завалом серверов...Но то что повергло меня в ярость,это то что служба поддержки у них работает очень и очень плохо!дозвониться невозможно!получить помощь тоже не реально!приходится самим все всегда делать...просто отвратительная компания , у которой есть ресурсы для того чтобы стать лучше , но не умеют они этими ресурсами действовать...                 "
19.02.2014 в 12:44,г. Усть-Каменогорск,3.2,3,4,3,3,"
                    Не берите Билайн!                ","
                    Полнейшая ерунда эти 3G модемы, уж извините. Работает по принципу ""когда хочу"". Билайн постоянно кричит о том, что у них уже по всему РК почти сеть-а толку? Они в городах-то, на расстоянии 10-15 км не могут нормальную связь обеспечить. Постоянные ""слёты"", нарушения скорости, работа только в определенных местах квартиры и под определенным углом наклона - надоедает, граждане.                  "
11.02.2014 в 13:53,г. Шымкент,4.2,3,5,4,5,"
                    Скорость и стабильность                ","
                    Покрытие по всему Казахстану.
Средняя временами высокая скорость, стабильное и надёжное интернет соединение.                 "
03.10.2013 в 12:28,г. Тараз,5,5,5,5,5,"
                    Beeline KZ                ","
                     Beeline KZ довольно хорош интернет, лучше чем был в Казахстане какой либо интернет! но после Queensland, Australia мне кажется что он телиться хуже беременной коровы                 "
03.10.2013 в 10:48,г. Караганда,1,1,1,1,1,"
                    Хуже всех!                ","
                    Это ужасно.если вы читаете этот отзыв не подключайтесь!почти год назад интернет неработал все зимние праздники! А теперь вот уже как 2 недели! Ни кто не приходит, не чинит и вроде даже не пытается! Такое чувство будто они сами не знают что делать ! И ладно еслиб первый раз , но... Ужас. Особенно когда нужно по работе.                 "
29.09.2013 в 18:43,г. Акколь,1,1,1,1,1,"
                    Интернет совсем стал медленным                ","
                    Хочу повысить скорость интернета,когда играл в игры онлайн пинг был 80-90,а щас 120-150!!!И интернет быстрее работал асейчас уочень медленно пывсте мне скорость в раза 2 больше!!                  "
29.09.2013 в 00:33,г. Караганда,3.2,3,3,4,3,"
                    плохо                ","
                    билайн довольно таки давно на нашем рынке предоставления интернет услуг,но все же качество интернета оставляет желать лучшего(
частые разрывы интернет соединения,плохая скорость...
вот что можно сказать за белайн!                 "
26.09.2013 в 22:28,г. Костанай,3.2,1,5,2,5,"
                    проблемы после 21 сентября 2013                ","
                    Отличная скорость...была до этого понедельника т.е. 22.09.2013. Скорость стала ужасна - скачет, но чаще вообще не грузит сайты, тот же м-агент не может погрузиться. Хочу добавить к последнему отзыву Алексея: попробуйте сделать трасировку (Пуск-выполнить-наберите cmd-далее в окошке пропишите ""tracert _______"" там где пустое подчеркнутое поле впишите какой-нить популярный сайт - и далее  enter). Просмотрите путь. обычно первые 4-5 пунктов показывают быстрый отклик, далее начинаются превышения интервала. А более конкретно на 46.227.185.233. Если дело так обстоит, то с вашим компом все в порядке. В общем сейчас крайне недоволен!                 "
22.09.2013 в 10:42,г. Костанай,4,4,4,4,4,"
                    Билайн Интернет дома                ","
                    Конечно если сравнивать с другими провайдерами доступные нам этот я бы сказал предоставляет услугу в соответствии с заявленными параметрами. Но и на старуху бывает проруха. Последнее время скорость нестабильная, очень часто меняется ip, что в на некоторых сайтах приводит к необходимости повторной авторизации. Служба поддержки вежливая, но если создается заявка то звонят когда вздумается - указал время звонить вечером с 18 до 22 а тебе перезванивают в 12,16 часов, а то и утром. Да и еще, конечно не в такой степени как Мегалайн, но все же списывают проблемы на пользователя, типа проблема в вашем компе.
Но все же на данный момент это лучшее.                 "
21.09.2013 в 13:21,г. Петропавловск,5,5,5,5,5,"
","
                    Замечательный интернет и скорость замечательная,меня все устраивает. Этот интернет стоит у меня уже более 3ех лет. С того момента как я подключил билайн, меня больше не интересуют другие провайдеры, до этого у меня стоял Мегалайн                 "
18.09.2013 в 18:38,г. Нур-Султан,4,5,5,3,3,"
                    Класс                ","
                    Всё отлично. Пользуюсь полтора года. Раза 3-4 были проблемы, но всё решается оперативно. Думаю если ко мне протянут ID NET переходить не буду.                 "
25.08.2013 в 12:29,г. Алматы,1.2,1,1,1,2,"
","
                    1) отрубается почти каждый день на час - два
2)невозможно диагностировать проблему.интернет просто отключается , но ошибка подразумевается под неправильным вводом пароля
3) если хочешь дозвониться операторам , то нужно как минимум час звонить туда
4)скорость всегда ниже обещанной (как минимум половины обещанной скорости прото нет! )
5) мало того что он отключается без причины , так ещё и когда идёт дождь днями интернет отсутствует
"
15.08.2013 в 13:29,г. Караганда,4,5,5,3,3,"
                    Билайн супер                ","
                    мне очень нравится скорость.никогда не тормозит! Ребята всем советую Билайн. Подключение быстро и без проблем. Лучше интернета не видел. Правда в точку Билайна с домашнего дозвониться никак не получается. это единственный минус.  так все отлично                 "
03.08.2013 в 22:47,г. Тараз,4.8,5,5,4,5,"
                    Так держать!                ","
                    Отличный провайдер!
На Билайне уже 2 года и не жалею что ушел с издевательского Мегалайн Старт. Раньше (около 9 мес назад) при развитии сети и после введения безлимитов наблюдались траблы со скоростью по вечерам, теперь все устаканилось и работает на ура в любое время суток. Конечно, бывают иногда мелкие проблемы, но они погоды не делают. Все ресурсы летают даже в самые пиковые часы. Локальная сеть работает тоже превосходно, позволяя скачивать даже при отсутствии внешки из-за неуплаты - такого нет НИ У ОДНОГО ПРОВАЙДЕРА в Казахстане!
Будем надеяться что также будет и дальше.                 "
22.07.2013 в 14:50,г. Алматы,2.5,2,4,2,2,"
","
                    При обещанных 40 мб/с максимум 16, но это пол беды, в принципе мне хватает этого, но часто скорость падает до 256 кб/с, и тут уже моей злости не предела. Операторы включают бетон, пытаются свалить проблему на ваш компьютер, но когда понимают что на проводе не совсем овощ,начинают составлять какие-то заявки в тех-службу, и все остается по старому.                 "
21.07.2013 в 19:59,г. Алматы,4.2,4,5,3,5,"
                    Не иделен, но вполне...                ","
                    Вечерком скорости падают раза в 2-3 на YouTube
Связь стабильная. В последнее время нет проблем с внешкой, как несколько месяцев назад.
Очень хорошее соотношение цена/качество. 
На опыте районов улиц Жарокова - Кабанбай батыра и Самал-1                 "
21.07.2013 в 12:37,г. Усть-Каменогорск,5,5,5,5,5,"
","
                    На данный момент Билайн почти встал на ноги, стал более стабильный прием сигнала, тех поддержка отличная, да и в прочем цены не кусаются                  "
02.07.2013 в 18:30,г. Алматы,5,5,5,5,5,"
","
                    хороший проваидер отличная скорость прекрасное обслуживание цена прилемая высокоскоростнои безлимитный интернет                 "
29.05.2013 в 08:36,г. Алматы,4.8,5,5,5,4,"
","
                    Стабильно доступно. Скорость хорошая устраивает. Быстро загружается. Иногда правда бывают сбои у провайдера. Но не часто.                  "
20.05.2013 в 18:48,г. Алматы,2.8,3,3,2,3,"
                    не супер... но альтернативы еще хуже                ","
                    Думаю перейти на 10мбит (сейчас 30), так как в реале больш 4-5 на внешних ресурсах не бывает. Да, качает хорошо, но днем реально тормозит (конечно, когда я только перешел на него с алматв 1,5 мбит, казалось что просто все летает)                 "
27.04.2013 в 06:00,г. Шымкент,2,1,5,1,1,"
                    DC++ ХАБЫ                ","
                    Пинг не очень! но зато по локалке качать хорошо .траф не жрется. даже нэт не нужен. только это и спасает билайн! vk.com/dcbeelinekz                 "
18.04.2013 в 20:36,г. Талды-Курган,3,3,3,3,3,"
","
                    В нашем регионе все другие хуже. Они относятся к МЕГАЛАЙН. Это КАЙНАР, АЛМА и другие. Отвратительно всё что исходит от КАЗАХТЕЛЕКОМА.                                                 "
31.03.2013 в 13:12,г. Жезказган,4,5,5,5,1,"
                    Beeline.kz                ","
                    Скоростью доволен.А вот пинг и цена на тарифные планы высоки:( Пинг в онлайн играх зашкаливает. Но скорость в торренте отличная.                 "
13.03.2013 в 22:43,г. Семей,4.8,5,5,4,5,"
                    В Целом хороший интернет                ","
                    Не как у остальных, но мне интернет нравится! Хорошая скорость, скачивание с торрент трекеров очень хорошая - 9-10 Мб/с. Подключался год назад, как раз у них были проблемы с пингом, потом все решили, но сейчас последние пару месяцев и правда есть трудности. Но говорят что вопрос решается, для меня это не так катастрофически. Все хорошо                 "
11.03.2013 в 09:05,г. Шымкент,2,1,2,3,2,"
                    Не соответствующая скорость и высокий PING                ","
                    По тарифному плану обещают до 30 Мбит/с на внешнюю сеть, однако реально выше 5 Мбит/с не было , хотя с ""тестового"" сервера внутри сети 30 Мбит/с качает , на данный факт тех поддержка заявляет, что такая низкая скорость с внешних серверов из-за  ""плохого качества внешних ресурсов"" . А относительно высокого пинга говорят - ""особенность работы сети"" . 
Услугу «Интернет дома» over FTTB под брендом Beeline-KZ предоставляет компания ТОО «2Day Telecom». Государственная лицензия № 12005618 от 27.06.2012 г. выдана ТОО «2Day Telecom» . Выдана Комитетом связи и информатизации Министерства транспорта и коммуникаций Республики Казахстан.
Вот такой вот провайдер :(                 "
02.03.2013 в 09:31,г. Алматы,4.5,5,5,4,4,"
","
                    Билайн Алматы - СУПЕР!
Хотя пинг на сегодня конечно не радует, но пишут на форумах что проблема решается.
В целом доволен.
Раньше сидел на мегалайне, был издевательский тарифный план за 1980тг(
Даже смешно что мегалайн запустил акцию ""Возвращайтесь""                 "
25.02.2013 в 22:33,г. Алматы,2.5,2,3,3,2,"
                    Билаин                ","
                    У провайдера наблюдаються проблемы с пингом и в последнее время и скоростью. Такое начало происходить уже 4 месяца назад служба поддержки говорит знаем и решаем - когда решим не знаем :) Остоеться только ждать.                 "
25.02.2013 в 22:17,г. Караганда,5,5,5,5,5,"
                    Best Провайдер                ","
                    Билайн самый лучший, не согласен со всеми. Такого интернета и такой скорости никогда не было в Казахстане... а Билайн, доступный, и скорость хорошая)                  "
25.02.2013 в 20:00,г. Усть-Каменогорск,3,3,3,4,2,"
                    лично меня не устроил                ","
                    скорость закачки очень хорошая. а вот пинги ужасные, хоть плачь, хоть матерись. Вечером ищешь кувалду, чтобы разбить комп                 "
25.02.2013 в 19:28,г. Костанай,1.8,1,3,2,1,"
                    Отстой!                ","
                    Интернет полное Г...! У меня Тарифный план ""Реальный безлимит 50Мбит/сек"" а скорость на внешние ресурсы днем не выше 5-12Мбит/с. Вечером скорость падает до такой степени, что даже не грузятся ролики с ютуба в минимальном качестве. Звонки в службу поддержки ничего не дают. Уже больше четырех месяцев обещают исправить ситуацию, но ничего так и не улучшилось!...                  "
